,attributevalue,count,normalized_attributevalue,synonyms
781,Tampons,4,tampons style,"[('Menstrual cups', 0.536), ('Sanitary pads', 0.522), ('Panty liners', 0.519), ('Reusable cloth pads', 0.44)]"
782,Protective Gloves,4,protective gloves style,"[('Safeguarding Gloves', 0.795), ('Defensive Handwear', 0.717), ('Shielding Mittens', 0.69), ('Guarding Gauntlets', 0.606)]"
783,Arts & Crafts Supplies,4,arts crafts supplies style,"[('Ornamental Outfits', 0.593), ('Artistic Apparel', 0.553), ('Creative Clothing', 0.553), ('Decorative Dress', 0.509)]"
784,Silver Toys,4,silver toys style,"[('Silverware Chic', 0.679), ('Metallic Fashions', 0.672), ('Steel Style', 0.483), ('Chrome Couture', 0.473)]"
785,Hair Wax,4,hair wax style,[]
786,Army Caps,4,army caps style,"[('Garrison caps', 0.679), ('Combat hats', 0.669), ('Garrison hats', 0.659), ('Military headgear', 0.606)]"
787,Contour,4,contour style,[]
788,Lip Plumper,4,lip plumper style,"[('Lip Filler ', 0.795), ('Lip Plumping ', 0.792), ('Lip Volumizer ', 0.792), ('Lip Enhancer ', 0.752)]"
789,Waterproof Jackets,4,waterproof jackets style,"[('Water-resistant outerwear', 0.701), ('Rainwear', 0.57), ('Moisture-proof apparel', 0.554), ('Impermeable coats', 0.521)]"
790,Plunge,4,plunge style,"[('Dive cut', 0.693), ('V-neck', 0.493), ('Deep neckline', 0.448)]"
791,Tops & Tunics,4,tops tunics style,[]
792,Mobile Cases,4,mobile cases style,"[('Cellular Cases Design', 0.684), ('Cellular Accessories Look', 0.68), ('Cellular Protectors Style', 0.67), ('Phone Covers Fashion', 0.634)]"
793,Day Cream,4,day cream style,"[('Daytime Look', 0.543), ('Daytime Outfit', 0.521), ('Daytime Apparel', 0.497), ('Daytime Attire', 0.49)]"
794,Cream,4,cream style,"[('Off-white ', 0.655), ('Vanilla ', 0.64), ('Eggshell ', 0.487), ('Ivory ', 0.47)]"
795,Walking & Hiking,3,walking hiking style,"[('Trekking', 0.649), ('Striding', 0.505), ('Tramping', 0.496), ('Meandering', 0.433)]"
796,Beard Wax,3,beard wax style,"[('Beard Pomade', 0.734), ('Mustache Styling', 0.711), ('Beard Balm', 0.668), ('Facial Hair Grooming', 0.559)]"
797,Facial Wipes & Tissues,3,facial wipes tissues style,"[('Facial Cleansing Cloths', 0.775), ('Face Towelettes', 0.733), ('Makeup Remover Pads', 0.724), ('Beauty Wipes', 0.659)]"
798,Maangtika,3,maangtika style,"[('Bindi Look', 0.68), ('Forehead Jewelry', 0.535), ('Hair Accessory', 0.419), ('Hair Ornament', 0.393)]"
799,Speakers,3,speakers style,"[('Garb', 0.582), ('Costume', 0.544), ('Attire', 0.527), ('Outfit', 0.523)]"
800,Top and Bottom Sets,3,top and bottom sets style,"[('High-low fashion', 0.68), ('Asymmetrical look', 0.645), ('Contrasting ensembles', 0.615), ('Uneven hemlines', 0.562)]"
801,Splash,3,splash style,"[('Spatter Style', 0.755), ('Sprinkle Style', 0.652), ('Drizzle Dress', 0.64), ('Dabble Design', 0.624)]"
802,Fish Cut,3,fish cut style,"[('Fishtail', 0.753), ('Mermaid', 0.5)]"
803,Humour,3,humour style,"[('Comic flair', 0.653), ('Amusing aesthetic', 0.581), ('Witty look', 0.55), ('Funky fashion', 0.544)]"
804,Toe-Ring Sandals,3,toe ring sandals style,[]
805,Collar Pins & Bars,3,collar pins bars style,"[('Brooch Bars', 0.677), ('Lapel Clasps', 0.509), ('Necktie Fasteners', 0.508), ('Scarf Slides', 0.452)]"
806,Ghagra Sets,3,ghagra sets style,"[('Ghagra looks', 0.792), ('Ghagra fashion', 0.746), ('Ghagra ensembles', 0.723), ('Ghagra attires', 0.715)]"
807,D'orsay Flats,3,d orsay flats style,"[('Peep Toe Flats', 0.567), ('Pointed Toe Flats', 0.536), ('Ballet Flats', 0.5)]"
808,Laptop & Notebook Cases,3,laptop notebook cases style,"[('Laptop Notebook Enclosures ', 0.855), ('Laptop Notebook Coverings ', 0.824), ('Laptop Notebook Sheaths ', 0.806), ('Laptop Notebook Wraps ', 0.78)]"
809,Miniature Decor & Figurines,3,miniature decor figurines style,"[('Miniature Ornamentation Statuettes ', 0.782), ('Miniature Decorative Figurines ', 0.754), ('Miniature Ornamental Figurines ', 0.726), ('Miniature Ornamental Statuettes ', 0.667)]"
810,Bralette & Panty,3,bralette panty style,"[('Bralette Knicker Style', 0.673), ('Bralette Underwear Style', 0.659), ('Bralette Undie Style', 0.651), ('Bralette Short Style', 0.595)]"
811,Incense Stand,2,incense stand style,"[('Incense holder look', 0.841), ('Incense burner style', 0.795), ('Incense burner fashion', 0.793), ('Incense burner chic', 0.759)]"
812,Nail Tools,2,nail tools style,"[('Nail art ', 0.8), ('Nail styling ', 0.747), ('Nail accessories ', 0.707), ('Manicure implements ', 0.621)]"
813,Poetry,2,poetry style,"[('Clothing Artistry', 0.377), ('Garment Design', 0.375), ('Apparel Aesthetic', 0.336), ('Fashion Expression', 0.33)]"
814,Activity Trackers,2,activity trackers style,"[('Workout Trackers', 0.506), ('Exercise Monitors', 0.424), ('Health Monitors', 0.399), ('Fitness Watches', 0.383)]"
815,Lumba Rakhi,2,lumba rakhi style,"[('Bohemian Rakhi Look', 0.61), ('Gypsy Rakhi Look', 0.598), ('Flowing Rakhi Look', 0.581), ('Swing Rakhi Look', 0.526)]"
816,Insect Repellents,2,insect repellents style,"[('Insect-resistant garments', 0.625), ('Pest-resistant fashion', 0.542), ('Mosquito-proof clothing', 0.492), ('Bug-proof apparel', 0.449)]"
817,Brief & Vest Sets,2,brief vest sets style,[]
818,Body Make-Up,2,body make up style,"[('Figure embellishment', 0.619), ('Physique adornment', 0.603), ('Garb', 0.582), ('Formalwear', 0.426)]"
819,Tablets & E-readers Skins,2,tablets e readers skins style,[]
820,Sunglasses,2,sunglasses style,"[('Shades look', 0.688), ('Spectacles style', 0.649), ('Goggles trend', 0.601), ('Eyewear fashion', 0.557)]"
821,Science and Mathematics,2,science and mathematics style,"[('hionable Science and Mathematics:', 0.76), ('Trendy Science and Mathematics', 0.749), ('Chic Science and Mathematics', 0.708), ('Stylish Science and Mathematics', 0.565)]"
822,Soft Case,2,soft case style,[]
823,Dual,2,dual style,"[('Bifurcated Look', 0.795), ('Split Design', 0.738), ('Contrasting Attire', 0.727), ('Two-Toned Outfit', 0.504)]"
824,Balm,2,balm style,"[('Salve Style', 0.705), ('Unction Style', 0.688), ('Ointment Style', 0.656), ('Balsam Style', 0.633)]"
825,Cologne,2,cologne style,"[('Aroma', 0.629), ('Fragrance', 0.585), ('Scent', 0.574), ('Eau de Parfum', 0.551)]"
826,Nail Polish Remover,2,nail polish remover style,"[('Varnish remover', 0.699), ('Enamel stripper', 0.619), ('Lacquer solvent', 0.596), ('Paint thinner', 0.531)]"
827,Jodhpuris,2,jodhpuris style,"[('Jodhpuri Outfit', 0.769), ('Jodhpuri Suit', 0.741), ('Jodhpuri Garb', 0.732), ('Jodhpuri Jacket', 0.715)]"
828,Sofa Cover,2,sofa cover style,"[('Couch Slipcover Design', 0.821), ('Settee Cover Look', 0.613), ('Loveseat Cover Style', 0.595), ('Chaise Cover Fashion', 0.595)]"
829,Gym Bags,2,gym bags style,"[('Fitness Satchels', 0.646), ('Exercise Totes', 0.594), ('Athletic Handbags', 0.529)]"
830,Strapless,2,strapless style,"[('Sleeveless Style', 0.776), ('Off-the-Shoulder Look', 0.73), ('Tube Top Style', 0.664), ('Halterneck Design', 0.581)]"
831,Society & Social Sciences,2,society social sciences style,"[('Trendy Social Sciences', 0.755), ('Popular Social Sciences', 0.599), ('Fashionable Social Sciences', 0.556), ('Style of the Times', 0.534)]"
832,Education Textbooks,2,education textbooks style,"[('Garment Tutorials', 0.498), ('Clothing Manuals', 0.492), ('Fashion Handbooks', 0.45), ('Apparel Guides', 0.447)]"
833,Bottom-Dupatta Set,2,bottom dupatta set style,"[('Skirt and Veil Combination', 0.361), ('Skirt and Veil Outfit', 0.348), ('Skirt and Scarf Combination', 0.328), ('Skirt and Shawl Ensemble', 0.31)]"
834,Sheer Stockings,2,sheer stockings style,"[('Mesh Stockings', 0.677), ('Lace Tights', 0.666), ('Netted Hosiery', 0.573), ('Fishnet Pantyhose', 0.457)]"
835,Soundbar,2,soundbar style,"[('Speaker-inspired style', 0.569), ('Audio-inspired apparel', 0.454), ('Music-influenced fashion', 0.427), ('Acoustic-influenced clothing', 0.415)]"
836,Opaque Stockings,2,opaque stockings style,"[('Fishnet stockings', 0.585), ('Sheer tights', 0.571), ('Fence-net stockings', 0.57), ('Solid-colored pantyhose', 0.526)]"
837,Smart Stationery,2,smart stationery style,"[('Sophisticated stationery look', 0.76), ('Savvy sartorial style', 0.752), ('Refined paper-based look', 0.688), ('Chic stationery fashion', 0.595)]"
838,Panty Liners,2,panty liners style,[]
839,Face Sunscreen,2,face sunscreen style,"[('Facial Sunscreen Look', 0.833), ('Facial Sunscreen Fashion', 0.827), ('Facial Sunscreen Attire', 0.787), ('Facial Sun Protection Apparel', 0.654)]"
840,Cookers,2,cookers style,"[('Garb', 0.542), ('Costume', 0.485), ('Outfit', 0.472), ('Attire', 0.457)]"
841,Beard Cream & Serum,2,beard cream serum style,"[('Mustache Wax', 0.728), (‘Beard Balm', 0.648), ('Facial Hair Pomade', 0.576)]"
842,Covers & Sleeves,2,covers sleeves style,"[('Garments', 0.662), ('Apparel', 0.631), ('Outfits', 0.623), ('Attire', 0.618)]"
843,Bathing & Toiletries,2,bathing toiletries style,"[('Toiletries Fashion ', 0.734), ('Bathing Apparel ', 0.63), ('Hygiene Wear ', 0.546), ('Cleaning Clothing ', 0.473)]"
844,Tool Cleansers,2,tool cleansers style,[]
845,Menstrual Cups,2,menstrual cups style,"[('Menstrual Tumblers', 0.81), ('Menstrual Bowls', 0.754), ('Menstrual Goblets', 0.735), ('Menstrual Discs', 0.721)]"
846,Blade Refills,2,blade refills style,"[('Replacement Blades ', 0.744), ('Refillable Blades ', 0.688), ('Reusable Blades ', 0.595), ('Interchangeable Blades ', 0.51)]"
847,Hair Accessories,2,hair accessories style,"[('Hair ornamentation style', 0.778), ('Hair decoration look', 0.75), ('Hair adornment fashion', 0.743), ('Hair embellishment trend', 0.736)]"
848,Balloon,1,balloon style,"[('Dirigible design', 0.58), ('Airship cut', 0.568), ('Hot-air look', 0.49), ('Blimp silhouette', 0.426)]"
849,Glossy,1,glossy style,"[('Shiny', 0.551), ('Lustrous', 0.535), ('Radiant Refinement', 0.48), ('Gleaming Glamour', 0.476)]"
850,Bathroom Mirrors,1,bathroom mirrors style,"[('Toilet Reflection Fashions', 0.763), ('Restroom Looking Glasses Mode', 0.696), ('Lavatory Reflection Styles', 0.645), ('Lavatory Looking Glasses Design', 0.618)]"
851,Computers & Internet,1,computers internet style,[]
852,Velcro,1,velcro style,"[('Hook and Eye Fastening', 0.542), ('Hook and Loop Fastening', 0.53), ('Touch-and-Close Fastening', 0.495), ('Snag-Free Closure', 0.453)]"
853,Fitness Trackers,1,fitness trackers style,"[('Workout Watches ', 0.608), ('Activity Trackers ', 0.593), ('Health Monitors ', 0.505), ('Exercise Monitors ', 0.5)]"
854,Nose Pin with Chain,1,nose pin with chain style,"[('Nose Stud with Chain', 0.764), ('Nasal Jewel with Chain', 0.719), ('Nose Ring with Chain', 0.679), ('Nostril Jewelry with Chain', 0.678)]"
855,Toilet Seat Sanitizers,1,toilet seat sanitizers style,"[('Restroom Attire', 0.612), ('Lavatory Apparel', 0.581), ('Commode Couture', 0.427), ('Loo Look', 0.39)]"
856,Pendant Set,1,pendant set style,"[('Necklace ensemble', 0.665), ('Necklace collection', 0.623), ('Jewellery set', 0.575), ('Jewellery suite', 0.554)]"
857,PPE Coveralls,1,ppe coveralls style,"[('Disposable Overalls', 0.704), ('Hazmat Outfits', 0.538), ('Protective Garments', 0.529), ('Safety Suits', 0.462)]"
858,Beard Balm & Gel,1,beard balm gel style,"[('Beard Styling Cream', 0.711), (‘Facial Hair Pomade', 0.639)]"
859,Body Butter,1,body butter style,[]
860,Mufflers,1,mufflers style,"[('Mufflers trend', 0.767), ('Mufflers look', 0.765), ('Mufflers design', 0.745), ('Silencers fashion', 0.576)]"
861,Sarongs,1,sarongs style,"[('Cover-Ups ', 0.704), ('Pareos ', 0.645), ('Kaftans ', 0.639), ('Wraparound Skirts ', 0.468)]"
862,Single Speaker,1,single speaker style,"[('Monochromatic look', 0.738), ('One-tone ensemble', 0.737), ('Uniform look', 0.457), ('Matching outfit', 0.298)]"
863,Razors,1,razors style,"[('Edgy', 0.524), ('Chic', 0.484), ('Sharp', 0.474), ('Sleek', 0.319)]"
864,Double Breated,1,double breated style,"[('Twin-breasted ', 0.695), ('Dual-buttoned ', 0.688), ('Two-buttoned ', 0.585), ('Six-on-two ', 0.498)]"
865,Maternity Care,1,maternity care style,"[('Maternity Fashions', 0.764), ('Maternity Wear', 0.731), ('Maternity Clothing', 0.681), ('Maternity Outfits', 0.669)]"
866,Gels & Waxes,1,gels waxes style,"[('Waves, Waxes, and Designs', 0.706), ('Curls, Ointments, and Trends', 0.593), ('Moldings, Balms, and Fashions', 0.497), ('Coifs, Pomades, and Arrangements', 0.48)]"
867,Cage,1,cage style,"[('Enclosure Look', 0.646), ('Containment Style', 0.628), ('Enclosure Fashion', 0.619), ('Containment Look', 0.586)]"
868,Dry Shampoo,1,dry shampoo style,"[('Disheveled do', 0.619), ('Bedhead look', 0.505), ('Messy mane', 0.502), ('Textured tresses', 0.396)]"
869,Tanga,1,tanga style,"[('Thong Style', 0.542), ('Cheeky Style', 0.499), ('G-String Style', 0.412)]"
870,Moustache Wax & Oil,1,moustache wax oil style,"[('Mustache Pomade', 0.642), ('Beard Grease', 0.554), ('Handlebar Cream', 0.489), ('Facial Hair Balm', 0.433)]"
871,Tablet Sleeves & Accessories,1,tablet sleeves accessories style,"[('Tablet cases style', 0.814), ('Tablet jackets look', 0.728), ('Tablet covers fashion', 0.718), ('Tablet wraps trend', 0.716)]"
872,Laptop Bags,1,laptop bags style,"[('Laptop carriers', 0.762), ('Computer totes', 0.723), ('Portable satchels', 0.534), ('Notebook holders', 0.513)]"
873,Sheet Mask,1,sheet mask style,"[('Face veil', 0.696), ('Maskerade', 0.696), ('Facial wrap', 0.564), ('Visor', 0.558)]"
874,Blades,1,blades style,"[('Edgy Look', 0.591), ('Pointed Outfit', 0.562), ('Razor Sharp', 0.542), ('Sleek Design', 0.387)]"
875,Stylised Stockings,1,stylised stockings style,"[('Embellished Stockings', 0.747), ('Patterned Hosiery', 0.654), ('Ornamental Tights', 0.651), ('Decorative Legwear', 0.478)]"
876,Skin Care,1,skin care style,"[('Complexion Maintenance', 0.716), ('Facial Grooming', 0.653), ('Visage Care', 0.613), ('Beauty Regimen', 0.601)]"
877,Foam,1,foam style,"[('Froth Fashion', 0.725), ('Suds Style', 0.711), ('Lather Look', 0.648), ('Mousse Mode', 0.644)]"
878,Sweatshirt & Shorts,1,sweatshirt shorts style,[]
879,Beard Comb,1,beard comb style,"[('Mustache Trimming', 0.663), ('Sideburns Maintenance', 0.642), ('Facial Hair Grooming', 0.587), ('Goatee Shaping', 0.559)]"
880,Corset,1,corset style,"[('Corselet', 0.735), ('Bodice', 0.6), ('Waist-cincher', 0.547), ('Bustier', 0.524)]"
881,Trimmers,1,trimmers style,"[('Cut', 0.64), ('Cropping', 0.584), ('Pruning', 0.551), ('Tailoring', 0.439)]"
882,Tablets & E-readers Sleeves,1,tablets e readers sleeves style,[]
883,Nipple Pasties,1,nipple pasties style,"[('Nipple Concealers', 0.757), ('Nipple Shields', 0.728), ('Nipple Discs', 0.71), ('Nipple Covers', 0.696)]"
884,Shaper Brief,1,shaper brief style,[]
885,Badminton,1,badminton style,"[('Shuttlecock-influenced', 0.476), ('Court-inspired', 0.457), ('Racquet-inspired', 0.451), ('Net-influenced', 0.408)]"
886,Sanitizers,1,sanitizers style,"[('Disinfectant’, 0.822), ('Sterilizer', 0.75), ('Antiseptic', 0.692)]"
887,Gaiters,1,gaiters style,"[('Pantaloons', 0.666), ('Breeches', 0.58), ('Trousers', 0.571), ('Leggings', 0.45)]"
888,Lip Mask,1,lip mask style,"[('Lip Protection Look', 0.754), ('Lip Veil Style', 0.723), ('Lip Veil Trend', 0.721), ('Lip Covering Fashion', 0.72)]"
